#TYPE Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType","Time"
"AarSvc_fd7af","Agent Activation Runtime_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"AdobeARMservice","Adobe Acrobat Update Service","Stopped","Disabled","12-19-2025 02:20:54"
"ADPSvc","Aggregated Data Platform Service","Stopped","Manual","12-19-2025 02:20:54"
"ALG","Application Layer Gateway Service","Stopped","Manual","12-19-2025 02:20:54"
"AppIDSvc","Application Identity","Stopped","Manual","12-19-2025 02:20:54"
"Appinfo","Application Information","Running","Manual","12-19-2025 02:20:54"
"AppMgmt","Application Management","Stopped","Manual","12-19-2025 02:20:54"
"AppReadiness","App Readiness","Stopped","Manual","12-19-2025 02:20:54"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Automatic","12-19-2025 02:20:54"
"ApxSvc","Windows Virtual Audio Device Proxy Service","Stopped","Manual","12-19-2025 02:20:54"
"asus","ASUS Update Service (asus)","Stopped","Automatic","12-19-2025 02:20:54"
"AsusCertService","ASUS Certificate Service","Running","Automatic","12-19-2025 02:20:54"
"asusm","ASUS Update Service (asusm)","Stopped","Manual","12-19-2025 02:20:54"
"AsusROGLSLService","AsusROGLSLService Download ROGLSLoader","Stopped","Automatic","12-19-2025 02:20:54"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Automatic","12-19-2025 02:20:54"
"Audiosrv","Windows Audio","Running","Automatic","12-19-2025 02:20:54"
"autotimesvc","Cellular Time","Stopped","Manual","12-19-2025 02:20:54"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","12-19-2025 02:20:54"
"BcastDVRUserService_fd7af","GameDVR and Broadcast User Service_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"BDAppSrv","Bitdefender App Service","Running","Automatic","12-19-2025 02:20:54"
"BDAuxSrv","Bitdefender Auxiliary Service","Running","Automatic","12-19-2025 02:20:54"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual","12-19-2025 02:20:54"
"BDProtSrv","Bitdefender Protected Service","Running","Automatic","12-19-2025 02:20:54"
"bdredline","Bitdefender RedLine Service","Running","Automatic","12-19-2025 02:20:54"
"bdredline_agent","Bitdefender Agent RedLine Service","Running","Automatic","12-19-2025 02:20:54"
"BDSafepaySrv","Bitdefender Safepay Service","Running","Automatic","12-19-2025 02:20:54"
"bdvpnservice","Bitdefender VPN Service","Running","Automatic","12-19-2025 02:20:54"
"BEService","BattlEye Service","Stopped","Disabled","12-19-2025 02:20:54"
"BFE","Base Filtering Engine","Running","Automatic","12-19-2025 02:20:54"
"BITS","Background Intelligent Transfer Service","Running","Automatic","12-19-2025 02:20:54"
"BluetoothUserService_fd7af","Bluetooth User Support Service_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Automatic","12-19-2025 02:20:54"
"BTAGService","Bluetooth Audio Gateway Service","Running","Manual","12-19-2025 02:20:54"
"BthAvctpSvc","AVCTP service","Running","Manual","12-19-2025 02:20:54"
"bthserv","Bluetooth Support Service","Running","Manual","12-19-2025 02:20:54"
"camsvc","Capability Access Manager Service","Running","Automatic","12-19-2025 02:20:54"
"CaptureService_fd7af","CaptureService_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"cbdhsvc_fd7af","Clipboard User Service_fd7af","Running","Automatic","12-19-2025 02:20:54"
"CDPSvc","Connected Devices Platform Service","Running","Automatic","12-19-2025 02:20:54"
"CDPUserSvc_fd7af","Connected Devices Platform User Service_fd7af","Running","Automatic","12-19-2025 02:20:54"
"CertPropSvc","Certificate Propagation","Stopped","Manual","12-19-2025 02:20:54"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Running","Automatic","12-19-2025 02:20:54"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","12-19-2025 02:20:54"
"CloudBackupRestoreSvc_fd7af","Cloud Backup and Restore Service_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"COMSysApp","COM+ System Application","Stopped","Manual","12-19-2025 02:20:54"
"ConsentUxUserSvc_fd7af","ConsentUX User Service_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"CoreMessagingRegistrar","CoreMessaging","Running","Automatic","12-19-2025 02:20:54"
"CredentialEnrollmentManagerUserSvc_fd7af","CredentialEnrollmentManagerUserSvc_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"CryptSvc","Cryptographic Services","Running","Automatic","12-19-2025 02:20:54"
"DcomLaunch","DCOM Server Process Launcher","Running","Automatic","12-19-2025 02:20:54"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual","12-19-2025 02:20:54"
"defragsvc","Optimize drives","Stopped","Manual","12-19-2025 02:20:54"
"DeviceAssociationBrokerSvc_fd7af","DeviceAssociationBroker_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"DeviceAssociationService","Device Association Service","Running","Automatic","12-19-2025 02:20:54"
"DeviceInstall","Device Install Service","Running","Manual","12-19-2025 02:20:54"
"DevicePickerUserSvc_fd7af","DevicePicker_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"DevicesFlowUserSvc_fd7af","DevicesFlow_fd7af","Running","Manual","12-19-2025 02:20:54"
"DevQueryBroker","DevQuery Background Discovery Broker","Running","Manual","12-19-2025 02:20:54"
"Dhcp","DHCP Client","Running","Automatic","12-19-2025 02:20:54"
"diagsvc","Diagnostic Execution Service","Stopped","Manual","12-19-2025 02:20:54"
"DiagTrack","Connected User Experiences and Telemetry","Running","Automatic","12-19-2025 02:20:54"
"DispBrokerDesktopSvc","Display Policy Service","Running","Automatic","12-19-2025 02:20:54"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","12-19-2025 02:20:54"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","12-19-2025 02:20:54"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual","12-19-2025 02:20:54"
"Dnscache","DNS Client","Running","Automatic","12-19-2025 02:20:54"
"DoSvc","Delivery Optimization","Running","Automatic","12-19-2025 02:20:54"
"dot3svc","Wired AutoConfig","Stopped","Manual","12-19-2025 02:20:54"
"DPS","Diagnostic Policy Service","Running","Automatic","12-19-2025 02:20:54"
"DsmSvc","Device Setup Manager","Stopped","Manual","12-19-2025 02:20:54"
"DsSvc","Data Sharing Service","Running","Manual","12-19-2025 02:20:54"
"DusmSvc","Data Usage","Running","Automatic","12-19-2025 02:20:54"
"EapHost","Extensible Authentication Protocol","Stopped","Manual","12-19-2025 02:20:54"
"EasyAntiCheat","EasyAntiCheat","Stopped","Disabled","12-19-2025 02:20:54"
"EasyAntiCheat_EOS","Easy Anti-Cheat (Epic Online Services)","Stopped","Manual","12-19-2025 02:20:54"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Automatic","12-19-2025 02:20:54"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","12-19-2025 02:20:54"
"EFS","Encrypting File System (EFS)","Running","Manual","12-19-2025 02:20:54"
"embeddedmode","Embedded Mode","Stopped","Manual","12-19-2025 02:20:54"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","12-19-2025 02:20:54"
"EQU8_39","EQU8_39","Stopped","Disabled","12-19-2025 02:20:54"
"EventLog","Windows Event Log","Running","Automatic","12-19-2025 02:20:54"
"EventSystem","COM+ Event System","Running","Automatic","12-19-2025 02:20:54"
"Fax","Fax","Stopped","Manual","12-19-2025 02:20:54"
"fdPHost","Function Discovery Provider Host","Running","Manual","12-19-2025 02:20:54"
"FDResPub","Function Discovery Resource Publication","Running","Manual","12-19-2025 02:20:54"
"fhsvc","File History Service","Stopped","Manual","12-19-2025 02:20:54"
"FontCache","Windows Font Cache Service","Running","Automatic","12-19-2025 02:20:54"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual","12-19-2025 02:20:54"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","12-19-2025 02:20:54"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","12-19-2025 02:20:54"
"FvSvc","NVIDIA FrameView SDK service","Stopped","Manual","12-19-2025 02:20:54"
"GameInputRedistService","GameInput Redist Service","Stopped","Manual","12-19-2025 02:20:54"
"GameInputSvc","GameInput Service","Stopped","Manual","12-19-2025 02:20:54"
"GamingServices","Gaming Services","Running","Automatic","12-19-2025 02:20:54"
"GamingServicesNet","Gaming Services","Running","Automatic","12-19-2025 02:20:54"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual","12-19-2025 02:20:54"
"GoogleUpdaterInternalService144.0.7547.0","Google Updater Internal Service (GoogleUpdaterInternalService144.0.7547.0)","Stopped","Automatic","12-19-2025 02:20:54"
"GoogleUpdaterService144.0.7547.0","Google Updater Service (GoogleUpdaterService144.0.7547.0)","Stopped","Automatic","12-19-2025 02:20:54"
"gpsvc","Group Policy Client","Running","Automatic","12-19-2025 02:20:54"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","12-19-2025 02:20:54"
"hidserv","Human Interface Device Service","Running","Manual","12-19-2025 02:20:54"
"hns","Host Network Service","Running","Manual","12-19-2025 02:20:54"
"hpatchmon","Hotpatch Monitoring Service","Stopped","Manual","12-19-2025 02:20:54"
"HvHost","HV Host Service","Running","Manual","12-19-2025 02:20:54"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","12-19-2025 02:20:54"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Automatic","12-19-2025 02:20:54"
"InstallService","Microsoft Store Install Service","Running","Manual","12-19-2025 02:20:54"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Automatic","12-19-2025 02:20:54"
"iphlpsvc","IP Helper","Running","Automatic","12-19-2025 02:20:54"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","12-19-2025 02:20:54"
"KeyIso","CNG Key Isolation","Running","Manual","12-19-2025 02:20:54"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","12-19-2025 02:20:54"
"LanmanServer","Server","Running","Automatic","12-19-2025 02:20:54"
"LanmanWorkstation","Workstation","Running","Automatic","12-19-2025 02:20:54"
"lfsvc","Geolocation Service","Running","Manual","12-19-2025 02:20:54"
"LicenseManager","Windows License Manager Service","Running","Manual","12-19-2025 02:20:54"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","12-19-2025 02:20:54"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","12-19-2025 02:20:54"
"LocalKdc","Kerberos Local Key Distribution Center","Stopped","Manual","12-19-2025 02:20:54"
"LSM","Local Session Manager","Running","Automatic","12-19-2025 02:20:54"
"LxpSvc","Language Experience Service","Stopped","Manual","12-19-2025 02:20:54"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic","12-19-2025 02:20:54"
"MBAMService","Malwarebytes Service","Running","Automatic","12-19-2025 02:20:54"
"MBVpnTunnelService","MBVpnTunnelService","Stopped","Manual","12-19-2025 02:20:54"
"McmSvc","Mobile Connectivity Management Service","Stopped","Manual","12-19-2025 02:20:54"
"McpManagementService","McpManagementService","Stopped","Manual","12-19-2025 02:20:54"
"MDCoreSvc","Microsoft Defender Core Service","Stopped","Manual","12-19-2025 02:20:54"
"MessagingService_fd7af","MessagingService_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual","12-19-2025 02:20:54"
"midisrv","Windows MIDI Service","Stopped","Manual","12-19-2025 02:20:54"
"mpssvc","Windows Defender Firewall","Running","Automatic","12-19-2025 02:20:54"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual","12-19-2025 02:20:54"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","12-19-2025 02:20:54"
"msiserver","Windows Installer","Stopped","Manual","12-19-2025 02:20:54"
"NaturalAuthentication","Natural Authentication","Stopped","Manual","12-19-2025 02:20:54"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","12-19-2025 02:20:54"
"NcbService","Network Connection Broker","Running","Manual","12-19-2025 02:20:54"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Running","Manual","12-19-2025 02:20:54"
"Netlogon","Netlogon","Stopped","Manual","12-19-2025 02:20:54"
"Netman","Network Connections","Stopped","Manual","12-19-2025 02:20:54"
"netprofm","Network List Service","Running","Manual","12-19-2025 02:20:54"
"NetSetupSvc","Network Setup Service","Stopped","Manual","12-19-2025 02:20:54"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","12-19-2025 02:20:54"
"NgcCtnrSvc","Microsoft Passport Container","Running","Manual","12-19-2025 02:20:54"
"NgcSvc","Microsoft Passport","Running","Manual","12-19-2025 02:20:54"
"NlaSvc","Network Location Awareness","Stopped","Manual","12-19-2025 02:20:54"
"NPSMSvc_fd7af","Now Playing Session Manager Service_fd7af","Running","Manual","12-19-2025 02:20:54"
"nsi","Network Store Interface Service","Running","Automatic","12-19-2025 02:20:54"
"nvagent","Network Virtualization Service","Running","Manual","12-19-2025 02:20:54"
"NvContainerLocalSystem","NVIDIA LocalSystem Container","Running","Automatic","12-19-2025 02:20:54"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running","Automatic","12-19-2025 02:20:54"
"OneSyncSvc_fd7af","Sync Host_fd7af","Running","Automatic","12-19-2025 02:20:54"
"P9RdrService_fd7af","P9RdrService_fd7af","Stopped","Manual","12-19-2025 02:20:54"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic","12-19-2025 02:20:54"
"PenService_fd7af","PenService_fd7af","Stopped","Manual","12-19-2025 02:20:54"
